                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.2634,                0.50425,                0.25087,                0.90231,                0.98584,                0.99802,                  0.995,                0.98691,                0.98584,                0.99802,                  0.995,                0.96969,                0.20861,                0.40086,                0.17579,                0.86975,              6.685e-05,              6.685e-05,              6.685e-05
                     77,                0.25795,                 0.4996,                0.25558,                0.89568,                0.98473,                0.99488,                  0.995,                0.98738,                0.98473,                0.99488,                  0.995,                0.97229,                0.21094,                0.40513,                  0.177,                0.86715,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     78,                0.26797,                 0.5044,                0.27454,                0.90241,                0.98703,                 0.9977,                  0.995,                0.98789,                0.98703,                 0.9977,                  0.995,                0.97148,                0.20057,                0.39579,                0.18134,                0.85661,               6.19e-05,               6.19e-05,               6.19e-05
                     79,                0.26823,                0.51544,                0.25543,                0.89918,                0.98831,                0.99395,                  0.995,                0.98728,                0.98831,                0.99395,                  0.995,                0.96981,                0.18966,                0.39583,                0.16003,                0.84663,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     80,                0.26067,                0.49582,                0.24646,                0.89614,                0.98427,                0.99566,                  0.995,                0.98497,                0.98427,                0.99566,                  0.995,                0.96562,                  0.205,                0.40305,                0.16993,                0.86397,              5.695e-05,              5.695e-05,              5.695e-05
                     81,                0.25257,                0.49203,                0.25628,                0.89861,                0.98505,                      1,                  0.995,                0.98617,                0.98505,                      1,                  0.995,                0.97229,                0.21747,                0.40273,                0.19429,                0.87346,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     82,                0.25406,                0.48976,                 0.2497,                0.89977,                0.98826,                0.99911,                  0.995,                0.98683,                0.98826,                0.99911,                  0.995,                0.97113,                 0.2024,                0.39562,                 0.1729,                0.85824,                5.2e-05,                5.2e-05,                5.2e-05
                     83,                0.25789,                0.49964,                 0.2539,                0.90156,                0.98436,                0.99707,                  0.995,                0.98905,                0.98436,                0.99707,                  0.995,                 0.9745,                0.19581,                0.39863,                0.16827,                0.85476,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     84,                0.25687,                 0.4946,                0.23811,                0.89793,                0.98778,                0.99861,                  0.995,                0.98727,                0.98778,                0.99861,                  0.995,                 0.9698,                0.19923,                 0.4007,                0.15927,                0.85573,              4.705e-05,              4.705e-05,              4.705e-05
                     85,                0.25524,                0.48244,                0.23294,                0.89814,                0.98789,                      1,                  0.995,                0.98346,                0.98789,                      1,                  0.995,                0.96984,                0.20208,                0.40272,                0.16404,                0.85832,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     86,                0.25583,                0.50054,                0.23635,                0.89605,                  0.988,                0.99839,                  0.995,                0.98452,                  0.988,                0.99839,                  0.995,                0.96697,                0.20112,                0.39365,                0.15707,                0.85703,               4.21e-05,               4.21e-05,               4.21e-05
                     87,                0.24935,                0.47358,                0.22822,                0.89933,                0.98505,                      1,                  0.995,                0.98584,                0.98505,                      1,                  0.995,                0.97045,                0.19594,                0.39847,                0.15757,                 0.8564,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     88,                0.25408,                0.49124,                0.22885,                0.89371,                0.98971,                      1,                  0.995,                0.98697,                0.98971,                      1,                  0.995,                0.97122,                0.20361,                0.39716,                0.15634,                0.85956,              3.715e-05,              3.715e-05,              3.715e-05
                     89,                0.25395,                0.48753,                0.24924,                 0.9008,                0.98762,                0.99595,                  0.995,                  0.985,                0.98762,                0.99595,                  0.995,                0.96775,                0.19922,                0.39528,                0.16295,                0.85845,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     90,                0.24794,                0.47251,                0.22754,                0.89353,                0.98761,                      1,                  0.995,                0.98667,                0.98761,                      1,                  0.995,                 0.9726,                 0.1971,                0.39435,                0.15512,                0.85551,               3.22e-05,               3.22e-05,               3.22e-05
                     91,                0.16864,                0.35146,                0.25982,                0.88094,                0.98809,                      1,                  0.995,                0.98592,                0.98809,                      1,                  0.995,                 0.9704,                0.20123,                0.39796,                0.17671,                0.86002,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     92,                0.15924,                0.34617,                0.22581,                0.86771,                 0.9874,                0.99541,                  0.995,                0.98783,                 0.9874,                0.99541,                  0.995,                0.97234,                 0.1942,                0.39788,                0.15524,                0.85349,              2.725e-05,              2.725e-05,              2.725e-05
                     93,                  0.158,                0.33989,                0.21717,                0.87263,                0.98811,                0.99851,                  0.995,                0.98794,                0.98811,                0.99851,                  0.995,                0.97239,                0.19505,                0.39735,                0.15139,                 0.8524,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     94,                0.15381,                0.34595,                0.21404,                0.87017,                0.98946,                0.99476,                  0.995,                0.98854,                0.98946,                0.99476,                  0.995,                 0.9728,                0.18972,                 0.3987,                0.14956,                0.85239,               2.23e-05,               2.23e-05,               2.23e-05
                     95,                0.15248,                0.34617,                0.20582,                0.86021,                0.98913,                      1,                  0.995,                0.98985,                0.98913,                      1,                  0.995,                0.97365,                0.18373,                0.39722,                0.14633,                0.84593,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     96,                 0.1477,                0.34055,                0.21232,                0.86383,                0.99023,                      1,                  0.995,                0.98724,                0.99023,                      1,                  0.995,                0.97135,                0.18951,                0.39731,                0.15187,                0.85205,              1.735e-05,              1.735e-05,              1.735e-05
                     97,                0.14926,                0.33745,                0.20444,                0.86387,                0.99197,                0.99838,                  0.995,                0.98802,                0.99197,                0.99838,                  0.995,                0.97151,                0.18221,                0.39757,                0.13972,                0.84618,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     98,                0.14757,                0.34086,                0.20618,                0.86222,                0.98989,                      1,                  0.995,                 0.9885,                0.98989,                      1,                  0.995,                0.97259,                0.18317,                0.39584,                0.14886,                0.84558,               1.24e-05,               1.24e-05,               1.24e-05
                     99,                0.14874,                0.34567,                 0.1952,                0.86131,                  0.991,                      1,                  0.995,                0.98821,                  0.991,                      1,                  0.995,                0.97221,                0.18394,                0.39592,                0.14523,                0.84632,              9.925e-06,              9.925e-06,              9.925e-06
                    100,                0.14387,                0.33562,                 0.1941,                0.86052,                0.99003,                      1,                  0.995,                 0.9876,                0.99003,                      1,                  0.995,                0.97281,                0.18328,                0.39574,                0.14361,                0.84631,               7.45e-06,               7.45e-06,               7.45e-06
